Initializing IMU device...
Testing device connections...
CurieIMU connection successful
About to calibrate. Make sure your board is stable and upright
Starting Gyroscope calibration... Done
Starting Acceleration calibration... Done
Internal sensor offsets AFTER calibration...
-20	-44	19	3	14	-7
Enabling Gyroscope/Acceleration offset compensation
1
1
sampling period: 16000.00
n
Started timed_IMU_ISR
0 1:65.00 2:18101.00 3:86853.94 4:324.62 5:400.69 6:324.86 7:486.92 8:615.69 9:704.43 10:363.95
0 1:68.00 2:18101.00 3:86086.06 4:126.04 5:200.56 6:221.35 7:370.24 8:232.28 9:619.79 10:833.20
0 1:65.00 2:18108.00 3:88461.90 4:334.33 5:339.99 6:526.07 7:424.14 8:422.48 9:434.84 10:277.88
0 1:66.00 2:18103.00 3:86538.68 4:154.44 5:276.04 6:139.74 7:326.96 8:253.07 9:701.60 10:785.22
0 1:63.00 2:18118.00 3:87944.55 4:325.08 5:222.70 6:310.85 7:340.02 8:483.26 9:786.68 10:268.63
0 1:60.00 2:18113.00 3:86651.76 4:121.94 5:188.80 6:268.35 7:301.97 8:426.87 9:641.01 10:486.22
0 1:58.00 2:18121.00 3:87971.81 4:199.21 5:276.78 6:127.67 7:393.35 8:527.85 9:687.03 10:572.89
0 1:60.00 2:18118.00 3:86943.77 4:281.70 5:115.09 6:290.66 7:421.77 8:424.64 9:462.99 10:403.36
0 1:61.00 2:18127.00 3:87912.60 4:97.52 5:292.50 6:135.30 7:401.81 8:537.77 9:753.79 10:316.49
0 1:57.00 2:18114.00 3:86761.49 4:203.81 5:144.54 6:281.38 7:418.19 8:361.04 9:755.98 10:229.00
0 1:62.00 2:18120.00 3:87702.22 4:94.28 5:205.17 6:175.65 7:346.62 8:508.36 9:429.63 10:374.81
0 1:158.00 2:18161.00 3:95185.16 4:3942.85 5:1703.83 6:2698.63 7:1372.66 8:1451.50 9:1042.07 10:661.17
0 1:134.00 2:18171.00 3:97792.01 4:2699.60 5:2614.68 6:2175.88 7:1477.55 8:1199.93 9:1572.08 10:1242.84
0 1:131.00 2:18159.00 3:95350.73 4:2152.76 5:1404.71 6:520.44 7:674.62 8:1144.03 9:1013.00 10:951.55
0 1:84.00 2:18167.00 3:95239.23 4:258.42 5:607.07 6:273.61 7:468.11 8:784.59 9:600.63 10:414.44
0 1:259.00 2:18162.00 3:95974.60 4:1251.93 5:999.89 6:1259.97 7:1317.48 8:879.43 9:1255.53 10:467.44
0 1:87.00 2:18169.00 3:98869.31 4:797.45 5:376.70 6:412.45 7:221.23 8:483.28 9:763.79 10:493.80
0 1:79.00 2:18174.00 3:96737.91 4:178.53 5:319.93 6:482.61 7:753.99 8:724.60 9:626.72 10:726.36
0 1:84.00 2:18188.00 3:100818.63 4:1044.65 5:513.61 6:967.39 7:1274.24 8:243.09 9:567.83 10:428.84
0 1:70.00 2:18184.00 3:98448.79 4:231.99 5:345.34 6:370.83 7:455.01 8:764.58 9:1027.43 10:423.57
0 1:68.00 2:18175.00 3:97276.46 4:428.04 5:419.85 6:682.74 7:495.79 8:559.04 9:482.97 10:322.47
0 1:3684.00 2:17797.00 3:62161.17 4:22529.62 5:8229.42 6:7665.86 7:4412.07 8:2477.43 9:3785.49 10:1589.54
0 1:4821.00 2:14188.00 3:305634.84 4:4961.30 5:8549.95 6:11942.99 7:7127.75 8:7940.37 9:5923.33 10:6580.64
0 1:7274.00 2:17416.00 3:80498.41 4:15409.72 5:3938.13 6:6784.74 7:5074.94 8:5101.70 9:3803.27 10:7695.71
0 1:4923.00 2:17970.00 3:52878.46 4:44483.84 5:24646.44 6:14519.47 7:12884.05 8:5692.09 9:3561.77 10:3706.47
0 1:2566.00 2:18449.00 3:69987.52 4:11857.67 5:5477.29 6:3203.51 7:575.56 8:1893.85 9:1795.74 10:1212.97
0 1:5873.00 2:17365.00 3:99634.32 4:26475.50 5:17682.30 6:12850.88 7:15047.08 8:5047.26 9:5474.76 10:13033.34
0 1:870.00 2:17670.00 3:26678.43 4:13984.33 5:10428.72 6:5516.49 7:2399.98 8:1879.69 9:1104.73 10:1010.06
0 1:7460.00 2:17166.00 3:154023.94 4:50610.66 5:24028.79 6:17628.63 7:4431.49 8:7265.92 9:2670.48 10:5219.95
0 1:5475.00 2:16019.00 3:273192.56 4:29723.90 5:29585.79 6:30450.46 7:22592.46 8:10573.67 9:17447.81 10:15669.70
0 1:3931.00 2:15073.00 3:374769.84 4:14794.25 5:23210.50 6:16826.68 7:9175.39 8:7052.22 9:8363.06 10:3259.24
0 1:6535.00 2:13704.00 3:322516.69 4:34514.73 5:10521.58 6:9498.33 7:4436.10 8:13166.19 9:7170.79 10:7489.40
0 1:3542.00 2:14416.00 3:338576.00 4:20862.64 5:18443.37 6:12935.50 7:10555.60 8:3034.47 9:3888.79 10:3091.39
0 1:6033.00 2:14975.00 3:282979.50 4:14427.38 5:26407.64 6:20118.96 7:11808.41 8:7141.33 9:6692.27 10:3874.84
0 1:2306.00 2:14731.00 3:321272.94 4:13559.56 5:4776.55 6:2788.76 7:2241.84 8:2530.20 9:2159.66 10:2061.65
0 1:1373.00 2:14913.00 3:295893.97 4:3637.65 5:3206.07 6:841.81 7:999.75 8:1339.46 9:950.97 10:670.69
0 1:3372.00 2:15741.00 3:209113.27 4:4765.43 5:5200.96 6:1620.04 7:2767.05 8:1367.14 9:1305.22 10:491.93
0 1:910.00 2:15538.00 3:233951.14 4:4328.20 5:2429.04 6:1888.49 7:1601.22 8:1381.58 9:760.53 10:1256.39
0 1:1875.00 2:15966.00 3:221733.39 4:9195.08 5:7629.92 6:2140.88 7:3302.71 8:2284.31 9:6030.60 10:1866.22
0 1:3421.00 2:14282.00 3:368340.53 4:3843.43 5:2701.11 6:3872.82 7:3970.28 8:2048.52 9:1836.93 10:1468.51
0 1:3487.00 2:13163.00 3:404355.78 4:5844.12 5:3411.93 6:7667.66 7:4646.44 8:2441.58 9:4070.90 10:3401.16
0 1:2636.00 2:15306.00 3:282882.06 4:16373.08 5:13466.84 6:4732.92 7:4297.30 8:5809.48 9:7051.67 10:4311.68
0 1:2852.00 2:15129.00 3:275971.09 4:9653.62 5:2638.19 6:6928.21 7:4387.66 8:2593.11 9:2258.23 10:1034.32
0 1:3455.00 2:13346.00 3:388659.50 4:19754.69 5:7479.25 6:3508.51 7:4196.25 8:3634.96 9:1642.27 10:2078.52
0 1:1908.00 2:13971.00 3:346525.59 4:4751.15 5:6252.10 6:9390.97 7:4965.67 8:3650.38 9:2905.20 10:4314.43
0 1:1027.00 2:14298.00 3:324830.53 4:12171.18 5:5595.23 6:4452.38 7:2789.58 8:1150.40 9:1344.31 10:678.62
0 1:793.00 2:14585.00 3:286358.28 4:2500.10 5:2605.92 6:2631.87 7:1328.88 8:935.41 9:631.52 10:565.23
0 1:2330.00 2:15400.00 3:217101.11 4:13144.54 5:12458.35 6:7831.06 7:5912.17 8:3445.08 9:2522.47 10:2292.93
0 1:995.00 2:14545.00 3:333421.16 4:3376.99 5:2723.63 6:6495.57 7:4910.23 8:4580.30 9:4631.62 10:3539.75
0 1:1983.00 2:14911.00 3:324674.72 4:3343.67 5:3870.64 6:5783.24 7:6547.61 8:8362.48 9:3093.47 10:5466.87
0 1:3444.00 2:13230.00 3:280167.31 4:16337.56 5:15367.87 6:8104.13 7:4497.71 8:4160.36 9:2473.20 10:3895.97
0 1:2307.00 2:12988.00 3:295609.59 4:16385.68 5:7242.56 6:13404.79 7:13927.42 8:5332.14 9:2464.25 10:4862.16
0 1:2699.00 2:12992.00 3:240483.83 4:2384.93 5:1935.43 6:3605.35 7:2384.82 8:3354.83 9:4185.64 10:2297.63
